AFFGEOID,ALAND,AWATER,Acres,GEOID,LSAD,NAME,NAMELSAD,PLACEFP,PLACENS,STATEFP,STATE_NAME,STUSPS,majority
1600000US4811236,15524068,12280,3843.79712143,4811236,57,Buna,Buna CDP,11236,02407921,48,Texas,TX,3.0
1600000US4952460,14017983,134267,3499.16366104,4952460,57,Mountain Green,Mountain Green CDP,52460,02584772,49,Utah,UT,4.0
1600000US3268550,138993937,171817,34367.4425566,3268550,57,Spring Creek,Spring Creek CDP,68550,02408791,32,Nevada,NV,5.0
1600000US3235300,46724226,0,11549.3982886,3235300,57,Indian Springs,Indian Springs CDP,35300,02408423,32,Nevada,NV,3.0
1600000US4969280,29106750,0,7195.73262572,4969280,57,Silver Summit,Silver Summit CDP,69280,02584775,49,Utah,UT,5.0
1600000US1368040,42689636,2650456,11187.2799184,1368040,57,St. Simons,St. Simons CDP,68040,02402813,13,Georgia,GA,5.0
1600000US0575770,4136390,29101,1026.36012133,0575770,43,Willisville,Willisville town,75770,02406892,05,Arkansas,AR,3.0
1600000US4182450,29329273,0,7245.83203312,4182450,57,Williams,Williams CDP,82450,02611785,41,Oregon,OR,4.0
1600000US3707765,20331653,1290805,5345.18084342,3707765,57,Brices Creek,Brices Creek CDP,07765,02402714,37,North Carolina,NC,4.0
1600000US0610044,14082639,39226,3485.50024535,0610044,57,Camanche Village,Camanche Village CDP,10044,02582960,06,California,CA,5.0
1600000US0637946,24459682,13903,6061.99865606,0637946,57,Keene,Keene CDP,37946,02408467,06,California,CA,5.0
1600000US4858850,8356844,7108,2070.49534485,4858850,57,Porter Heights,Porter Heights CDP,58850,02409095,48,Texas,TX,3.0
1600000US4857494,7113587,45202,1773.3024053,4857494,57,Pinebrook,Pinebrook CDP,57494,02805781,48,Texas,TX,3.0
1600000US0610042,6039084,0,1482.96416362,0610042,57,Camanche North Shore,Camanche North Shore CDP,10042,02582959,06,California,CA,3.0
1600000US5124816,11311190,0,2783.3685081,5124816,57,Ebony,Ebony CDP,24816,02584840,51,Virginia,VA,3.0
1600000US0642142,14082298,0,3469.97422804,0642142,57,Lockwood,Lockwood CDP,42142,02812656,06,California,CA,4.0
1600000US0671568,63570619,177508,15745.5296154,0671568,57,Shingletown,Shingletown CDP,71568,02408728,06,California,CA,4.0
1600000US0642146,28157116,86923,6975.07751295,0642146,57,Lockwood,Lockwood CDP,42146,02583058,06,California,CA,3.0
1600000US0841065,4879665,1177,1207.75851876,0841065,57,Kittredge,Kittredge CDP,41065,02408491,08,Colorado,CO,4.0
1600000US4518475,4916456,0,1219.39603358,4518475,57,Danwood,Danwood CDP,18475,02812954,45,South Carolina,SC,4.0
1600000US4751402,52368469,0,12940.1338657,4751402,57,Mowbray Mountain,Mowbray Mountain CDP,51402,02584586,47,Tennessee,TN,3.0
1600000US4606120,1731559,0,426.009712867,4606120,57,Blucksberg Mountain,Blucksberg Mountain CDP,06120,02584547,46,South Dakota,SD,3.0
1600000US3418040,15128650,2316,3736.63822202,3418040,57,Dorothy,Dorothy CDP,18040,02804149,34,New Jersey,NJ,4.0
1600000US0600450,59181047,14646,14626.9060162,0600450,57,Agua Dulce,Agua Dulce CDP,00450,02582928,06,California,CA,4.0
1600000US0680952,18622693,0,4606.68601066,0680952,57,Twain,Twain CDP,80952,02409369,06,California,CA,5.0
1600000US0601358,2631092,1178,654.659470244,0601358,57,Alta Sierra,Alta Sierra CDP,01358,02804107,06,California,CA,4.0
1600000US3075905,3317781,10868,826.218094345,3075905,57,Unionville,Unionville CDP,75905,02804304,30,Montana,MT,3.0
1600000US0179032,24483319,52184,6067.97717032,0179032,57,Vinegar Bend,Vinegar Bend CDP,79032,02628608,01,Alabama,AL,3.0
1600000US0812325,34741500,22625,8581.89257306,0812325,57,Cascade-Chipita Park,Cascade-Chipita Park CDP,12325,02407982,08,Colorado,CO,4.0
1600000US0879785,9803170,15939,2428.46020941,0879785,57,Upper Bear Creek,Upper Bear Creek CDP,79785,02583309,08,Colorado,CO,5.0
1600000US0547090,7421280,34664,1845.24609483,0547090,57,Morrow,Morrow CDP,47090,02805663,05,Arkansas,AR,3.0
1600000US0818585,3774402,411,934.275063558,0818585,57,Crisman,Crisman CDP,18585,02583229,08,Colorado,CO,4.0
1600000US0417460,2720285,0,668.787069742,0417460,57,Crozier,Crozier CDP,17460,02582766,04,Arizona,AZ,3.0
1600000US4026000,1905741,12951,476.795184374,4026000,57,Finley,Finley CDP,26000,02805316,40,Oklahoma,OK,3.0
1600000US4116975,53592131,0,13252.4058659,4116975,57,Crooked River Ranch,Crooked River Ranch CDP,16975,02787935,41,Oregon,OR,3.0
1600000US4672900,2771664,0,685.721573078,4672900,57,Wounded Knee,Wounded Knee CDP,72900,02393868,46,South Dakota,SD,3.0
1600000US4080000,6139390,51233,1527.40145585,4080000,57,Welty,Welty CDP,80000,02805361,40,Oklahoma,OK,3.0
1600000US3586595,32693527,0,8077.94886495,3586595,57,Zuni Pueblo,Zuni Pueblo CDP,86595,02409649,35,New Mexico,NM,3.0
1600000US0941714,1506323,0,370.48227428,0941714,57,Lakeside Woods,Lakeside Woods CDP,41714,02805953,09,Connecticut,CT,3.0
1600000US1381488,6765209,0,1674.99457135,1381488,57,West Brow,West Brow CDP,81488,02812676,13,Georgia,GA,4.0
1600000US3415160,19935875,3304587,5739.60334537,3415160,25,Corbin City,Corbin City city,15160,00885192,34,New Jersey,NJ,5.0
1600000US5556050,31471578,1000544,8026.61520257,5556050,57,Neopit,Neopit CDP,56050,02393146,55,Wisconsin,WI,3.0
1600000US0154696,19328114,26514,4776.44455872,0154696,57,Nixburg,Nixburg CDP,54696,02805891,01,Alabama,AL,3.0
1600000US0123032,3004563,61545,758.233986585,0123032,57,Edgewater,Edgewater CDP,23032,02402443,01,Alabama,AL,3.0
1600000US0638024,5054047,0,1244.6515399,0638024,57,Kelly Ridge,Kelly Ridge CDP,38024,02612483,06,California,CA,4.0
1600000US0686174,16579394,460,4110.02039209,0686174,57,Wofford Heights,Wofford Heights CDP,86174,02409619,06,California,CA,5.0
1600000US0641026,7003204,0,1719.74308954,0641026,57,Leggett,Leggett CDP,41026,02628750,06,California,CA,5.0
1600000US0646646,49415773,0,12203.9159298,0646646,57,Mead Valley,Mead Valley CDP,46646,02583077,06,California,CA,4.0
1600000US0633532,17061107,0,4220.49565155,0633532,57,Hidden Meadows,Hidden Meadows CDP,33532,02408381,06,California,CA,4.0
1600000US3512833,2401744,1494,592.141519919,3512833,57,Casas Adobes,Casas Adobes CDP,12833,02806702,35,New Mexico,NM,3.0
1600000US0671414,66129143,15380,16330.7721064,0671414,57,Sheridan,Sheridan CDP,71414,02583137,06,California,CA,3.0
1600000US0637106,7776484,5375,1925.23586911,0637106,57,Jamestown,Jamestown CDP,37106,02408437,06,California,CA,5.0
1600000US0640526,6606354,0,1633.73703064,0640526,57,Las Flores,Las Flores CDP,40526,02408577,06,California,CA,3.0
1600000US3057950,9128054,0,2249.65529431,3057950,57,Pioneer Junction,Pioneer Junction CDP,57950,02583833,30,Montana,MT,3.0
1600000US3615902,3865028,48255,972.60581872,3615902,57,Clark Mills,Clark Mills CDP,15902,02389324,36,New York,NY,3.0
1600000US3451750,5510537,180570,1401.27589668,3451750,57,Newport,Newport CDP,51750,02806154,34,New Jersey,NJ,3.0
